K	Variance
496	4.0554514E-6
497	3.7961318E-6
498	4.031769E-6
499	3.5833875E-6
500	3.7197926E-6
501	3.8244943E-6
502	3.8421776E-6
503	3.8478056E-6
504	4.047643E-6
505	3.4460686E-6
506	3.8641465E-6
507	3.929817E-6
508	4.0064433E-6
509	4.06175E-6
510	3.966781E-6
511	3.7194386E-6
512	4.0141713E-6
513	3.6182792E-6
514	3.7944485E-6
515	3.4824764E-6
516	3.923476E-6
517	3.6088545E-6
518	4.177239E-6
519	4.0227737E-6
520	3.7875097E-6
521	3.319904E-6
522	3.5682385E-6
523	4.0078926E-6
524	4.145849E-6
525	4.1020166E-6
526	3.549209E-6
527	3.7721595E-6
528	3.9061406E-6
529	3.663189E-6
530	3.9355314E-6
531	3.9076067E-6
532	3.700206E-6
533	3.4292711E-6
534	3.8409953E-6
535	3.771936E-6
536	3.5253756E-6
537	3.4882962E-6
538	3.486212E-6
539	3.734956E-6
540	3.7981274E-6
541	3.3675E-6
542	3.9647307E-6
543	3.5839719E-6
544	3.018399E-6
545	3.7268512E-6
546	4.0085033E-6
547	3.746586E-6
548	3.6380109E-6
549	3.1173215E-6
550	3.589244E-6
551	3.3795059E-6
552	3.4592385E-6
553	3.7449129E-6
554	3.020346E-6
555	3.677786E-6
556	3.1943525E-6
557	3.7832979E-6
558	3.0538822E-6
559	3.4916825E-6
560	3.4240518E-6
561	3.5186429E-6
562	3.4134707E-6
563	2.9128767E-6
564	3.6928916E-6
565	3.3789659E-6
566	3.315496E-6
567	3.2407638E-6
568	3.996656E-6
569	3.3246552E-6
570	3.496455E-6
571	3.0242338E-6
572	3.2227686E-6
573	3.2343671E-6
574	3.2287967E-6
575	3.6513113E-6
576	3.3348772E-6
577	3.3243746E-6
578	2.9807481E-6
579	3.3104322E-6
580	3.202267E-6
581	3.1705E-6
582	3.158315E-6
583	3.1544942E-6
584	2.8488437E-6
585	3.43851E-6
586	3.023313E-6
587	3.148455E-6
588	3.299513E-6
589	3.3414137E-6
590	3.3106835E-6
591	3.1928098E-6
592	3.066747E-6
593	3.574163E-6
594	2.7780366E-6
595	3.0986446E-6
596	3.2398193E-6
597	3.0099843E-6
598	2.873621E-6
599	3.0671367E-6
600	3.0402846E-6
601	3.1092707E-6
602	2.9759346E-6
603	2.8680527E-6
604	3.206664E-6
605	2.9901069E-6
606	2.856096E-6
607	3.0885542E-6
608	2.9451835E-6
609	2.6678713E-6
610	3.1388515E-6
